name,price,price_Y
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,￥463.65
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,￥323.92
Danganronpa Volume 1,£51.99,￥443.52
Crown of Midnight (Throne of Glass #2),£43.29,￥369.30
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,￥313.25
Camp Midnight,£17.08,￥145.71
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,￥248.59
Burning,£28.81,￥245.78
Bossypants,£49.46,￥421.94
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,￥323.49
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,￥239.63
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,￥262.84
A World of Flavor: Your Gluten Free Passport,£42.95,￥366.40
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,￥484.21
A Murder in Time,£16.64,￥141.95
A Flight of Arrows (The Pathfinders #2),£55.53,￥473.72
A Fierce and Subtle Poison,£28.13,￥239.97
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,￥446.76
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,￥460.67
You Are What You Love: The Spiritual Power of Habit,£21.87,￥186.57
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,￥369.39
Tuesday Nights in 1980,£21.04,￥179.49
Tracing Numbers on a Train,£41.60,￥354.89
Throne of Glass (Throne of Glass #1),£35.07,￥299.18
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,￥508.78
Thirteen Reasons Why,£52.72,￥449.75
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,￥495.47
The Wedding Dress,£24.12,￥205.77
The Vacationers,£42.15,￥359.58
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,￥107.57
The Stranger,£17.44,￥148.78
The Shadow Hero (The Shadow Hero),£33.14,￥282.71
The Secret (The Secret #1),£27.37,￥233.49
The Regional Office Is Under Attack!,£51.36,￥438.15
The Psychopath Test: A Journey Through the Madness Industry,£36.00,￥307.11
The Project,£10.65,￥90.85
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,￥371.44
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,￥325.97
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,￥318.54
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,￥376.21
The Mistake (Off-Campus #2),£43.29,￥369.30
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,￥476.45
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,￥320.76
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,￥93.58
The Kite Runner,£41.82,￥356.76
The House by the Lake,£36.95,￥315.22
The Glittering Court (The Glittering Court #1),£44.28,￥377.75
The Girl on the Train,£55.02,￥469.37
The Genius of Birds,£17.24,￥147.07
The Emerald Mystery,£23.15,￥197.49
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,￥351.90
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,￥272.99
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,￥328.35
The Art of War,£33.34,￥284.42
The Argonauts,£10.93,￥93.24
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,￥235.03
Suddenly in Love (Lake Haven #1),£55.99,￥477.65
Something More Than This,£16.24,￥138.54
Soft Apocalypse,£26.12,￥222.83
So You've Been Publicly Shamed,£12.23,￥104.33
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,￥204.66
"Shobu Samurai, Project Aryoku (#3)",£29.06,￥247.91
Secrets and Lace (Fatal Hearts #1),£20.27,￥172.92
Scarlett Epstein Hates It Here,£43.55,￥371.52
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,￥315.13
Redeeming Love,£20.47,￥174.63
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,￥350.28
Poems That Make Grown Women Cry,£14.19,￥121.05
"Nightingale, Sing",£38.28,￥326.56
Night Sky with Exit Wounds,£41.05,￥350.19
Mrs. Houdini,£30.25,￥258.06
Modern Romance,£28.26,￥241.08
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,￥91.79
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,￥143.75
Little Red,£13.47,￥114.91
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,￥414.26
Large Print Heart of the Pride,£19.15,￥163.37
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,￥489.33
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,￥366.66
Grumbles,£22.16,￥189.04
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,￥421.68
Frostbite (Vampire Academy #2),£29.99,￥255.84
Follow You Home,£21.36,￥182.22
First Steps for New Christians (Print Edition),£29.00,￥247.40
Finders Keepers (Bill Hodges Trilogy #2),£53.53,￥456.66
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,￥355.06
Eureka Trivia 6.0,£54.59,￥465.70
Drive: The Surprising Truth About What Motivates Us,£34.95,￥298.15
Done Rubbed Out (Reightman & Bailey #1),£37.72,￥321.79
Doing It Over (Most Likely To #1),£35.61,￥303.79
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,￥359.66
Dark Notes,£19.19,￥163.71
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,￥165.76
Close to You,£49.46,￥421.94
Chasing Heaven: What Dying Taught Me About Living,£37.80,￥322.47
Big Magic: Creative Living Beyond Fear,£30.80,￥262.75
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,￥234.00
Beauty Restored (Riley Family Legacy Novellas #3),£11.11,￥94.78
Batman: The Long Halloween (Batman),£36.50,￥311.38
Batman: The Dark Knight Returns (Batman),£15.38,￥131.21
Ayumi's Violin,£15.48,￥132.06
Anonymous,£46.82,￥399.42
Amy Meets the Saints and Sages,£18.46,￥157.48
Amid the Chaos,£36.58,￥312.06
Amatus,£50.54,￥431.15
Agnostic: A Spirited Manifesto,£12.51,￥106.72
Zealot: The Life and Times of Jesus of Nazareth,£24.70,￥210.71
You (You #1),£43.61,￥372.03
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,￥318.54
Wild Swans,£14.36,￥122.50
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,￥449.15
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,￥325.88
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,￥167.21
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,￥459.82
Walt Disney's Alice in Wonderland,£12.96,￥110.56
V for Vendetta (V for Vendetta Complete),£37.10,￥316.50
Until Friday Night (The Field Party #1),£46.31,￥395.07
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",£45.95,￥391.99
Twenty Yawns,£22.08,￥188.36
Through the Woods,£25.38,￥216.51
This Is Where It Ends,£27.12,￥231.36
The Year of Magical Thinking,£43.04,￥367.17
The Wright Brothers,£56.80,￥484.56
The White Queen (The Cousins' War #1),£25.91,￥221.04
The Wedding Pact (The O'Malleys #2),£32.61,￥278.19
The Time Keeper,£27.88,￥237.84
The Testament of Mary,£52.67,￥449.32
The Star-Touched Queen,£46.02,￥392.59
The Songs of the Gods,£44.48,￥379.45
The Song of Achilles,£37.40,￥319.06
The Rosie Project (Don Tillman #1),£54.04,￥461.01
The Power of Habit: Why We Do What We Do in Life and Business,£16.88,￥144.00
The Marriage of Opposites,£28.08,￥239.55
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,￥88.72
The Long Haul (Diary of a Wimpy Kid #9),£44.07,￥375.96
The Loney,£23.40,￥199.62
The Literature Book (Big Ideas Simply Explained),£17.43,￥148.69
The Last Mile (Amos Decker #2),£54.21,￥462.46
The Immortal Life of Henrietta Lacks,£40.67,￥346.95
The Hidden Oracle (The Trials of Apollo #1),£52.26,￥445.82
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,￥245.43
The Guilty (Will Robie #4),£13.82,￥117.90
The First Hostage (J.B. Collins #2),£25.85,￥220.52
The Dovekeepers,£48.78,￥416.14
The Darkest Lie,£35.35,￥301.57
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,￥381.59
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,￥134.53
The 14th Colony (Cotton Malone #11),£39.24,￥334.75
That Darkness (Gardiner and Renner #1),£13.92,￥118.75
Tastes Like Fear (DI Marnie Rome #3),£10.69,￥91.20
Take Me with You,£45.21,￥385.68
Swell: A Year of Waves,£45.58,￥388.84
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,￥101.43
Still Life with Bread Crumbs,£26.41,￥225.30
Steve Jobs,£39.50,￥336.97
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,￥381.67
Someone Like You (The Harrisons #2),£52.79,￥450.35
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,￥302.25
Shtum,£55.84,￥476.37
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,￥416.91
salt.,£46.78,￥399.08
Robin War,£47.82,￥407.95
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,￥217.37
Rain Fish,£23.57,￥201.07
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,￥434.14
Pet Sematary,£10.56,￥90.09
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,￥444.89
Once Was a Time,£18.28,￥155.94
Old School (Diary of a Wimpy Kid #10),£11.83,￥100.92
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,￥187.25
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,￥327.50
My Name Is Lucy Barton,£41.56,￥354.54
My Mrs. Brown,£24.48,￥208.84
My Kind of Crazy,£40.36,￥344.31
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,￥246.54
More Than Music (Chasing the Dream #1),£37.61,￥320.85
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,￥331.43
Luis Paints the World,£53.95,￥460.24
Luckiest Girl Alive,£49.83,￥425.09
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,￥439.43
Love Is a Mix Tape (Music #1),£18.03,￥153.81
Looking for Lovely: Collecting the Moments that Matter,£29.14,￥248.59
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",£46.91,￥400.18
Let It Out: A Journey Through Journaling,£26.79,￥228.54
Lady Midnight (The Dark Artifices #1),£16.28,￥138.88
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,￥166.78
Island of Dragons (Unwanteds #7),£29.65,￥252.94
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,￥221.63
I Am Pilgrim (Pilgrim #1),£10.60,￥90.43
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,￥125.83
"Hush, Hush (Hush, Hush #1)",£47.02,￥401.12
Hold Your Breath (Search and Rescue #1),£28.82,￥245.86
Hamilton: The Revolution,£58.79,￥501.53
Greek Mythic History,£10.23,￥87.27
God: The Most Unpleasant Character in All Fiction,£30.03,￥256.18
Glory over Everything: Beyond The Kitchen House,£45.84,￥391.06
Feathers: Displays of Brilliant Plumage,£49.05,￥418.44
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,￥128.48
Every Last Word,£46.47,￥396.43
Eligible (The Austen Project #4),£27.09,￥231.10
El Deafo,£57.62,￥491.55
Eight Hundred Grapes,£14.39,￥122.76
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,￥441.47
"Eat Fat, Get Thin",£54.07,￥461.27
Don't Get Caught,£55.35,￥472.19
Doctor Sleep (The Shining #2),£40.12,￥342.26
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,￥319.99
Dear Mr. Knightley,£11.21,￥95.63
Daily Fantasy Sports,£36.58,￥312.06
Crazy Love: Overwhelmed by a Relentless God,£47.72,￥407.09
Cometh the Hour (The Clifton Chronicles #6),£25.01,￥213.36
Code Name Verity (Code Name Verity #1),£22.13,￥188.79
Clockwork Angel (The Infernal Devices #1),£44.14,￥376.55
City of Glass (The Mortal Instruments #3),£56.02,￥477.90
City of Fallen Angels (The Mortal Instruments #4),£11.23,￥95.80
City of Bones (The Mortal Instruments #1),£43.28,￥369.22
City of Ashes (The Mortal Instruments #2),£47.27,￥403.26
Cell,£20.29,￥173.09
Catching Jordan (Hundred Oaks),£50.83,￥433.63
"Carry On, Warrior: Thoughts on Life Unarmed",£31.85,￥271.71
Carrie,£46.23,￥394.38
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,￥322.47
Brain on Fire: My Month of Madness,£49.32,￥420.74
Batman: Europa,£32.01,￥273.07
Barefoot Contessa Back to Basics,£28.01,￥238.95
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,￥431.83
Balloon Animals,£17.03,￥145.28
Art Ops Vol. 1,£48.80,￥416.31
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,￥495.99
Angels Walking (Angels Walking #1),£34.20,￥291.76
Angels & Demons (Robert Langdon #1),£51.48,￥439.17
All the Light We Cannot See,£29.87,￥254.82
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,￥92.99
Abstract City,£56.37,￥480.89
A Time of Torment (Charlie Parker #14),£48.35,￥412.47
A Study in Scarlet (Sherlock Holmes #1),£16.73,￥142.72
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,￥481.83
A People's History of the United States,£40.79,￥347.98
A Man Called Ove,£39.72,￥338.85
A Distant Mirror: The Calamitous 14th Century,£14.58,￥124.38
A Brush of Wings (Angels Walking #3),£55.51,￥473.55
1491: New Revelations of the Americas Before Columbus,£21.80,￥185.97
"The Three Searches, Meaning, and the Story",£13.33,￥113.72
Searching for Meaning in Gailana,£38.73,￥330.40
Rook,£37.86,￥322.98
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,￥98.36
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,￥230.85
Will You Won't You Want Me?,£13.86,￥118.24
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,￥320.34
The Silent Sister (Riley MacPherson #1),£46.29,￥394.90
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,￥223.51
The Lonely City: Adventures in the Art of Being Alone,£33.26,￥283.74
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,￥504.60
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,￥336.37
The Epidemic (The Program 0.6),£14.44,￥123.19
The Dinner Party,£56.54,￥482.34
The Diary of a Young Girl,£59.90,￥511.00
The Children,£11.88,￥101.35
Stars Above (The Lunar Chronicles #4.5),£48.05,￥409.91
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,￥180.94
Raspberry Pi Electronics Projects for the Evil Genius,£49.67,￥423.73
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,￥368.02
Psycho: Sanitarium (Psycho #1.5),£36.97,￥315.39
Poisonous (Max Revere Novels #3),£26.80,￥228.63
One with You (Crossfire #5),£15.71,￥134.02
No Love Allowed (Dodge Cove #1),£54.65,￥466.21
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,￥463.74
Most Wanted,£35.28,￥300.97
"Love, Lies and Spies",£20.55,￥175.31
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,￥497.52
Hide Away (Eve Duncan #20),£11.84,￥101.01
Furiously Happy: A Funny Book About Horrible Things,£41.46,￥353.69
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,￥171.47
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,￥485.07
Eleanor & Park,£56.51,￥482.08
Dirty (Dive Bar #1),£40.83,￥348.32
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,￥414.94
Boar Island (Anna Pigeon #19),£59.48,￥507.42
A Paris Apartment,£39.01,￥332.79
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,￥330.74
Troublemaker: Surviving Hollywood and Scientology,£48.39,￥412.81
The Widow,£27.26,￥232.55
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,￥99.64
The Improbability of Love,£59.45,￥507.16
The Art of Startup Fundraising,£21.00,￥179.15
Take Me Home Tonight (Rock Star Romance #3),£53.98,￥460.50
Sleeping Giants (Themis Files #1),£48.74,￥415.80
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,￥180.43
Playing with Fire,£13.71,￥116.96
Off the Hook (Fishing for Trouble #1),£47.67,￥406.67
Mothering Sunday,£13.34,￥113.80
"Mother, Can You Not?",£16.89,￥144.09
M Train,£27.18,￥231.87
Lilac Girls,£17.28,￥147.41
Lies and Other Acts of Love,£45.14,￥385.08
Lab Girl,£40.85,￥348.49
Keep Me Posted,£20.46,￥174.54
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,￥480.03
Grey (Fifty Shades #4),£48.49,￥413.66
"Exit, Pursued by a Bear",£51.34,￥437.98
Daredevils,£16.34,￥139.39
Cravings: Recipes for What You Want to Eat,£20.50,￥174.88
Born for This: How to Find the Work You Were Meant to Do,£21.59,￥184.18
Arena,£21.36,￥182.22
Adultery,£20.88,￥178.13
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,￥166.61
A Gentleman's Position (Society of Gentlemen #3),£14.75,￥125.83
11/22/63,£48.48,￥413.58
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,￥209.60
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,￥424.07
Without Shame,£48.27,￥411.79
Watchmen,£58.05,￥495.22
Unlimited Intuition Now,£58.87,￥502.21
Underlying Notes,£11.82,￥100.84
The Shack,£28.03,￥239.12
The New Brand You: Your New Image Makes the Sale for You,£44.05,￥375.79
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,￥105.27
The Flowers Lied,£16.68,￥142.30
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,￥476.96
The Book of Mormon,£24.57,￥209.60
The Art and Science of Low Carbohydrate Living,£52.98,￥451.97
The Alien Club,£54.40,￥464.08
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,￥467.58
Nap-a-Roo,£25.08,￥213.95
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",£10.41,￥88.81
Modern Day Fables,£47.44,￥404.71
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,￥178.38
"Fruits Basket, Vol. 9 (Fruits Basket #9)",£33.95,￥289.62
Dress Your Family in Corduroy and Denim,£43.68,￥372.63
Don't Forget Steven,£33.23,￥283.48
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,£35.92,￥306.43
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,￥414.86
A Shard of Ice (The Black Symphony Saga #1),£56.63,￥483.10
A Hero's Curse (The Unseen Chronicles #1),£50.49,￥430.73
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79,￥305.32
